Team;Player;Position;Points;Price;GP;Home;Away;Average
Everton;Carlos Alcaraz;Midfielder;0;1900000;0;0;0;0.00
Nottingham Forest;Sangaré;Midfielder;0;1900000;0;0;0;0.00
Fulham;Castagne;Defender;0;1870000;0;0;0;0.00
Nottingham Forest;Danilo;Midfielder;0;1870000;0;0;0;0.00
Newcastle;Botman;Defender;0;1860000;0;0;0;0.00
Everton;Beto;Forward;0;1860000;0;0;0;0.00
Tottenham;Archie Gray;Defender;0;1850000;0;0;0;0.00
Burnley;Amdouni;Forward;0;1830000;0;0;0;0.00
Brentford FC;Pinnock;Defender;0;1820000;0;0;0;0.00
Newcastle;Willock;Midfielder;0;1820000;0;0;0;0.00
Tottenham;Djed Spence;Defender;0;1820000;0;0;0;0.00
Crystal Palace;Chris Richards;Defender;0;1820000;0;0;0;0.00
Manchester City;Máximo Perrone;Midfielder;0;1820000;0;0;0;0.00
Manchester City;Stones;Defender;0;1810000;0;0;0;0.00
Manchester United;Mason Mount;Midfielder;0;1750000;0;0;0;0.00
Tottenham;Kevin Danso;Defender;0;1740000;0;0;0;0.00
Arsenal;Kiwior;Defender;0;1740000;0;0;0;0.00
Wolverhampton;Munetsi;Midfielder;0;1740000;0;0;0;0.00
Tottenham;Luka Vuskovic;Defender;0;1720000;0;0;0;0.00
Crystal Palace;Will Hughes;Midfielder;0;1710000;0;0;0;0.00
Burnley;Maxime Estève;Defender;0;1700000;0;0;0;0.00
Sunderland;Enzo Le Fée;Midfielder;0;1680000;0;0;0;0.00
Manchester City;Ake;Defender;0;1670000;0;0;0;0.00
West Ham United;Füllkrug;Forward;0;1670000;0;0;0;0.00
Chelsea;Wesley Fofana;Defender;0;1660000;0;0;0;0.00
Wolverhampton;Hugo Bueno;Defender;0;1650000;0;0;0;0.00
Tottenham;Solomon;Forward;0;1610000;0;0;0;0.00
Brentford FC;Kristoffer Ajer;Defender;0;1600000;0;0;0;0.00
Chelsea;Axel Disasi;Defender;0;1600000;0;0;0;0.00
Leeds United;Jack Harrison;Forward;0;1590000;0;0;0;0.00
Nottingham Forest;David Carmo;Defender;0;1590000;0;0;0;0.00
AFC Bournemouth;Senesi;Defender;0;1580000;0;0;0;0.00
Aston Villa;Barrenechea;Midfielder;0;1580000;0;0;0;0.00
Brighton & Hove Albion;Kadıoğlu;Defender;0;1580000;0;0;0;0.00
Burnley;Hartman;Defender;0;1570000;0;0;0;0.00
Brighton & Hove Albion;Veltman;Defender;0;1550000;0;0;0;0.00
Tottenham;Mathys Tel;Forward;0;1550000;0;0;0;0.00
Wolverhampton;Doherty;Defender;0;1540000;0;0;0;0.00
Chelsea;Sterling;Forward;0;1530000;0;0;0;0.00
Brighton & Hove Albion;Dunk;Defender;0;1530000;0;0;0;0.00
Burnley;Jaidon Anthony;Forward;0;1530000;0;0;0;0.00
Everton;Jake O'Brien;Defender;0;1530000;0;0;0;0.00
Wolverhampton;Ki-Jana Hoever;Defender;0;1520000;0;0;0;0.00
Tottenham;Richarlison;Forward;0;1510000;0;0;0;0.00
Brentford FC;Jensen;Midfielder;0;1510000;0;0;0;0.00
Wolverhampton;Santiago Bueno;Defender;0;1510000;0;0;0;0.00
Wolverhampton;Fábio Silva;Forward;0;1490000;0;0;0;0.00
Liverpool;Bradley;Defender;0;1480000;0;0;0;0.00
Sunderland;Dan Neil;Midfielder;0;1480000;0;0;0;0.00
Leeds United;Joël Piroe;Forward;0;1470000;0;0;0;0.00
Aston Villa;Barkley;Midfielder;0;1460000;0;0;0;0.00
Nottingham Forest;Jair Cunha;Defender;0;1460000;0;0;0;0.00
Liverpool;Joe Gomez;Defender;0;1440000;0;0;0;0.00
Nottingham Forest;Jota Silva;Forward;0;1440000;0;0;0;0.00
Wolverhampton;Yerson Mosquera;Defender;0;1440000;0;0;0;0.00
Leeds United;Joe Rodon;Defender;0;1430000;0;0;0;0.00
Liverpool;Tsimikas;Defender;0;1430000;0;0;0;0.00
Brighton & Hove Albion;Abdallah Sima;Forward;0;1430000;0;0;0;0.00
Chelsea;Jørgensen;Goalkeeper;0;1430000;0;0;0;0.00
Aston Villa;Mings;Defender;0;1420000;0;0;0;0.00
Leeds United;Ampadu;Defender;0;1420000;0;0;0;0.00
Chelsea;Mudryk;Forward;0;1410000;0;0;0;0.00
Manchester United;Patrick Dorgu;Defender;0;1410000;0;0;0;0.00
Crystal Palace;Cheick Doucouré;Midfielder;0;1390000;0;0;0;0.00
Sunderland;Trai Hume;Defender;0;1390000;0;0;0;0.00
Leeds United;Gudmundsson;Defender;0;1380000;0;0;0;0.00
Manchester City;Oscar Bobb;Midfielder;0;1370000;0;0;0;0.00
Aston Villa;Samuel Iling;Forward;0;1370000;0;0;0;0.00
Arsenal;Zinchenko;Defender;0;1360000;0;0;0;0.00
AFC Bournemouth;Alex Scott;Midfielder;0;1360000;0;0;0;0.00
Crystal Palace;Walter Benítez;Goalkeeper;0;1360000;0;0;0;0.00
Fulham;Issa Diop;Defender;0;1350000;0;0;0;0.00
Leeds United;Gnonto;Forward;0;1350000;0;0;0;0.00
Brighton & Hove Albion;Stefanos Tzimas;Forward;0;1340000;0;0;0;0.00
Newcastle;Longstaff;Midfielder;0;1320000;0;0;0;0.00
Chelsea;Badiashile;Defender;0;1320000;0;0;0;0.00
Chelsea;Dewsbury-Hall;Midfielder;0;1300000;0;0;0;0.00
West Ham United;Guido Rodríguez;Midfielder;0;1300000;0;0;0;0.00
Brentford FC;Hickey;Defender;0;1290000;0;0;0;0.00
Brentford FC;Igor Thiago;Forward;0;1290000;0;0;0;0.00
Liverpool;Chiesa;Forward;0;1290000;0;0;0;0.00
Brighton & Hove Albion;Igor;Defender;0;1280000;0;0;0;0.00
Chelsea;Kendry Páez;Midfielder;0;1280000;0;0;0;0.00
Tottenham;Ben Davies;Defender;0;1270000;0;0;0;0.00
Leeds United;Illan Meslier;Goalkeeper;0;1260000;0;0;0;0.00
Fulham;Sessegnon;Midfielder;0;1250000;0;0;0;0.00
Sunderland;Patterson;Goalkeeper;0;1250000;0;0;0;0.00
Brighton & Hove Albion;Diego Coppola;Defender;0;1230000;0;0;0;0.00
AFC Bournemouth;Neto;Goalkeeper;0;1220000;0;0;0;0.00
Chelsea;Renato Veiga;Midfielder;0;1220000;0;0;0;0.00
Tottenham;Antonín Kinský;Goalkeeper;0;1210000;0;0;0;0.00
Tottenham;Drăgușin;Defender;0;1190000;0;0;0;0.00
